Spark download,  Spark startup, kafka download, kafka startup, nodes, system
8.09839010239        ,     18.2772431374        ,    3.10813307762          ,    0.0705358982086, 2, stampede
9.12528300285        ,     19.3067979813        ,    2.49234104156          ,    0.0705428123474     , 2, stampede
9.0399980545        ,     19.5929939747        ,    2.69453883171          ,    0.118231058121     , 4   , stampede
10.8151259422        ,     18.5194380283        ,    2.56352591515          ,    0.213992118835     , 8   , stampede
10.8311460018        ,     18.891010046        ,    2.42874884605          ,    0.216598987579     , 8   , stampede
9.09882211685        ,     18.7950479984        ,    2.69312095642          ,    0.213991880417     , 8   , stampede
10.8764810562        ,     19.0743019581        ,    2.61579084396          ,    0.0705380439758     , 2   , stampede
11.9054720402        ,     17.4222998619        ,    2.64134907722          ,    0.112356901169     , 4   , stampede
9.63293290138        ,     17.7943799496        ,    2.52463793755          ,    0.109196901321     , 4   , stampede 
16.5358829498        ,     19.7347090244        ,    2.71306300163          ,    0.400924921036     , 16   , stampede 
11.0063998699        ,     20.0585849285        ,    2.62421703339          ,    0.400385141373     , 16   , stampede 
10.5349860191        ,     19.7791888714        ,    2.48783302307          ,    0.406312942505     , 16   , stampede 
8.97516012192        ,     5.99865078926        ,    1.78428816795          ,    0.0549311637878     , 2   ,comet
9.42070508003        ,     5.98520088196        ,    1.80712509155          ,    0.0947289466858     , 4   ,comet
16.0791220665        ,     6.01720905304        ,    1.78962206841          ,    0.178885936737     , 8   ,comet
