BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario,Application,Centers,
1514465160000 ms,2017-12-28T06:46:01,4,2259,2255,0,1-2-3-4P-1B-1C,kmeans,10,
1514465220000 ms,2017-12-28T06:47:03,1,10034,10033,905,1-2-3-4P-1B-1C,kmeans,10,
1514465280000 ms,2017-12-28T06:48:05,0,18734,18734,1776,1-2-3-4P-1B-1C,kmeans,10,
1514465340000 ms,2017-12-28T06:49:06,0,20399,20399,2005,1-2-3-4P-1B-1C,kmeans,10,
1514465520000 ms,2017-12-28T06:52:07,1,23798,23797,2310,1-2-3-4P-1B-1C,kmeans,10,
1514465580000 ms,2017-12-28T06:53:11,0,38023,38023,3761,1-2-3-4P-1B-1C,kmeans,10,
1514465640000 ms,2017-12-28T06:54:11,0,36978,36978,3709,1-2-3-4P-1B-1C,kmeans,10,
1514465820000 ms,2017-12-28T06:57:10,0,32336,32336,3200,1-2-3-4P-1B-1C,kmeans,10,
1514465880000 ms,2017-12-28T06:58:17,0,63855,63855,5771,1-2-3-4P-1B-1C,kmeans,10,
1514465940000 ms,2017-12-28T06:59:31,0,52375,52375,5016,1-2-3-4P-1B-1C,kmeans,10,
1514466000000 ms,2017-12-28T07:01:23,0,64225,64225,5028,1-2-3-4P-1B-1C,kmeans,10,
1514466000000 ms,2017-12-28T07:02:23,0,93238,93238,7351,1-2-3-4P-1B-1C,kmeans,10,
1514465280000 ms,2017-12-28T07:03:26,22670,91640,68970,6884,1-2-3-4P-1B-1C,kmeans,10,
1514465340000 ms,2017-12-28T07:05:55,31721,63892,32171,3197,1-2-3-4P-1B-1C,kmeans,10,
1514465380000 ms,2017-12-28T07:07:01,37927,42661,4637,3000,1-2-3-4P-1B-1C,kmeans,10,
